Date,Open,High,Low,Close,Adj Close,Volume
2/1/71,100,100,100,100,100,0
2/8/71,100.839996,102.050003,100.690002,102.050003,102.050003,0
2/15/71,102.190002,102.190002,100.699997,100.699997,100.699997,0
2/22/71,99.68,101.339996,99.68,101.339996,101.339996,0
3/1/71,101.779999,103,101.779999,103,103,0
3/8/71,104.230003,104.5,104.139999,104.5,104.5,0
3/15/71,105.129997,105.879997,105.129997,105.769997,105.769997,0
3/22/71,105.370003,105.370003,104.599998,105.07,105.07,0
3/29/71,105.199997,106.860001,105.199997,106.860001,106.860001,0
4/5/71,107.169998,108.379997,107.169998,108.379997,108.379997,0
4/12/71,108.870003,109.959999,108.849998,109.959999,109.959999,0
4/19/71,110.160004,110.690002,109.519997,110.690002,110.690002,0
4/26/71,111.129997,112.459999,111.129997,112.300003,112.300003,0
5/3/71,111.349998,111.769997,110.660004,110.660004,110.660004,0
5/10/71,110.150002,110.739998,110.150002,110.739998,110.739998,0
5/17/71,109.150002,109.150002,108.330002,108.849998,108.849998,0
5/24/71,108.419998,108.419998,107.5,108.25,108.25,0
5/31/71,108.870003,110.660004,108.870003,110.660004,110.660004,0
6/7/71,110.760002,110.760002,109.790001,110.199997,110.199997,0
6/14/71,109.57,109.57,108.160004,108.160004,108.160004,0
6/21/71,106.5,106.559998,105.489998,106.559998,106.559998,0
6/28/71,106.449997,108.769997,106.449997,108.769997,108.769997,0
7/5/71,109.230003,110.910004,109.230003,110.910004,110.910004,0
7/12/71,111.239998,111.239998,109.980003,109.980003,109.980003,0
7/19/71,109.370003,109.790001,109.370003,109.629997,109.629997,0
7/26/71,109.349998,109.349998,105.269997,105.269997,105.269997,0
8/2/71,105.589996,105.589996,103.110001,103.779999,103.779999,0
8/9/71,103.18,105.440002,103.040001,105.440002,105.440002,0
8/16/71,107.860001,108.93,107.860001,107.889999,107.889999,0
8/23/71,108.260002,109.300003,108.260002,109.300003,109.300003,0
8/30/71,108.709999,109.980003,108.419998,109.980003,109.980003,0
9/6/71,110.529999,110.580002,110.419998,110.419998,110.419998,0
9/13/71,110.220001,110.220001,109.769997,110.099998,110.099998,0
9/20/71,109.989998,109.989998,108.800003,108.879997,108.879997,0
9/27/71,108.18,109.580002,108.18,109.580002,109.580002,0
10/4/71,109.959999,110.980003,109.959999,110.739998,110.739998,0
10/11/71,110.709999,110.910004,109.599998,109.599998,109.599998,0
10/18/71,109.059998,109.059998,106.580002,106.800003,106.800003,0
10/25/71,106.290001,106.290001,104.279999,105.099998,105.099998,0
11/1/71,103.690002,105.559998,103.540001,105.459999,105.459999,0
11/8/71,105.43,105.720001,103.739998,103.910004,103.910004,0
11/15/71,103.440002,103.709999,102.949997,102.949997,102.949997,0
11/22/71,101.790001,101.790001,100.309998,101.639999,101.639999,0
11/29/71,103.080002,107.260002,103.080002,107.260002,107.260002,0
12/6/71,106.919998,108.809998,106.919998,108.809998,108.809998,0
12/13/71,109.160004,110.519997,109.07,110.519997,110.519997,0
12/20/71,111.5,111.970001,111.5,111.940002,111.940002,0
